ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS32376,SYSTEM1.TXT,0.59139,0.14442,0.23215,4

ROUGE-1+StopWordRemoval,FNS32376,SYSTEM1.TXT,0.73457,0.08751,0.15640,4

ROUGE-2+StopWordRemoval,FNS32376,SYSTEM1.TXT,0.37248,0.03319,0.06094,4

ROUGE-SU4+StopWordRemoval,FNS32376,SYSTEM1.TXT,0.49301,0.03817,0.07086,4

ROUGE-L+StopWordRemoval,FNS32134,SYSTEM1.TXT,0.51669,0.13708,0.21668,3

ROUGE-1+StopWordRemoval,FNS32134,SYSTEM1.TXT,0.67512,0.04601,0.08615,3

ROUGE-2+StopWordRemoval,FNS32134,SYSTEM1.TXT,0.22079,0.01271,0.02404,3

ROUGE-SU4+StopWordRemoval,FNS32134,SYSTEM1.TXT,0.35604,0.01761,0.03357,3

ROUGE-L+StopWordRemoval,FNS32135,SYSTEM1.TXT,0.52737,0.20178,0.29188,4

ROUGE-1+StopWordRemoval,FNS32135,SYSTEM1.TXT,0.69645,0.17560,0.28048,4

ROUGE-2+StopWordRemoval,FNS32135,SYSTEM1.TXT,0.32553,0.06796,0.11244,4

ROUGE-SU4+StopWordRemoval,FNS32135,SYSTEM1.TXT,0.43426,0.08011,0.13527,4

ROUGE-L+StopWordRemoval,FNS30991,SYSTEM1.TXT,0.43485,0.12542,0.19469,4

ROUGE-1+StopWordRemoval,FNS30991,SYSTEM1.TXT,0.61976,0.04622,0.08602,4

ROUGE-2+StopWordRemoval,FNS30991,SYSTEM1.TXT,0.23115,0.01303,0.02467,4

ROUGE-SU4+StopWordRemoval,FNS30991,SYSTEM1.TXT,0.34972,0.01748,0.03330,4

ROUGE-L+StopWordRemoval,FNS32136,SYSTEM1.TXT,0.64919,0.16701,0.26567,4

ROUGE-1+StopWordRemoval,FNS32136,SYSTEM1.TXT,0.76190,0.08515,0.15317,4

ROUGE-2+StopWordRemoval,FNS32136,SYSTEM1.TXT,0.34652,0.02906,0.05363,4

ROUGE-SU4+StopWordRemoval,FNS32136,SYSTEM1.TXT,0.49164,0.03510,0.06552,4

ROUGE-L+StopWordRemoval,FNS32378,SYSTEM1.TXT,0.42076,0.16179,0.23371,3

ROUGE-1+StopWordRemoval,FNS32378,SYSTEM1.TXT,0.60686,0.10130,0.17362,3

ROUGE-2+StopWordRemoval,FNS32378,SYSTEM1.TXT,0.21780,0.02926,0.05159,3

ROUGE-SU4+StopWordRemoval,FNS32378,SYSTEM1.TXT,0.35629,0.03961,0.07129,3

ROUGE-L+StopWordRemoval,FNS32810,SYSTEM1.TXT,0.63881,0.16690,0.26465,4

ROUGE-1+StopWordRemoval,FNS32810,SYSTEM1.TXT,0.75330,0.08758,0.15692,4

ROUGE-2+StopWordRemoval,FNS32810,SYSTEM1.TXT,0.34953,0.02937,0.05418,4

ROUGE-SU4+StopWordRemoval,FNS32810,SYSTEM1.TXT,0.49474,0.03566,0.06652,4

ROUGE-L+StopWordRemoval,FNS32139,SYSTEM1.TXT,0.60874,0.17819,0.27569,3

ROUGE-1+StopWordRemoval,FNS32139,SYSTEM1.TXT,0.72155,0.11280,0.19510,3

ROUGE-2+StopWordRemoval,FNS32139,SYSTEM1.TXT,0.34513,0.03914,0.07031,3

ROUGE-SU4+StopWordRemoval,FNS32139,SYSTEM1.TXT,0.47159,0.04622,0.08418,3

ROUGE-L+StopWordRemoval,FNS31601,SYSTEM1.TXT,0.64824,0.12336,0.20728,4

ROUGE-1+StopWordRemoval,FNS31601,SYSTEM1.TXT,0.76229,0.04947,0.09292,4

ROUGE-2+StopWordRemoval,FNS31601,SYSTEM1.TXT,0.37799,0.01928,0.03668,4

ROUGE-SU4+StopWordRemoval,FNS31601,SYSTEM1.TXT,0.48765,0.02139,0.04099,4

ROUGE-L+StopWordRemoval,FNS31843,SYSTEM1.TXT,0.62581,0.15263,0.24541,3

ROUGE-1+StopWordRemoval,FNS31843,SYSTEM1.TXT,0.78744,0.10704,0.18846,3

ROUGE-2+StopWordRemoval,FNS31843,SYSTEM1.TXT,0.36973,0.03559,0.06494,3

ROUGE-SU4+StopWordRemoval,FNS31843,SYSTEM1.TXT,0.50122,0.04512,0.08279,3

ROUGE-L+StopWordRemoval,FNS31844,SYSTEM1.TXT,0.49096,0.10533,0.17345,3

ROUGE-1+StopWordRemoval,FNS31844,SYSTEM1.TXT,0.66795,0.07004,0.12678,3

ROUGE-2+StopWordRemoval,FNS31844,SYSTEM1.TXT,0.23800,0.02152,0.03946,3

ROUGE-SU4+StopWordRemoval,FNS31844,SYSTEM1.TXT,0.38688,0.02764,0.05160,3

ROUGE-L+StopWordRemoval,FNS30874,SYSTEM1.TXT,0.71648,0.10584,0.18443,5

ROUGE-1+StopWordRemoval,FNS30874,SYSTEM1.TXT,0.81536,0.03229,0.06212,5

ROUGE-2+StopWordRemoval,FNS30874,SYSTEM1.TXT,0.45109,0.01166,0.02273,5

ROUGE-SU4+StopWordRemoval,FNS30874,SYSTEM1.TXT,0.55434,0.01384,0.02701,5

ROUGE-L+StopWordRemoval,FNS31040,SYSTEM1.TXT,0.55501,0.14615,0.23137,3

ROUGE-1+StopWordRemoval,FNS31040,SYSTEM1.TXT,0.70195,0.07678,0.13842,3

ROUGE-2+StopWordRemoval,FNS31040,SYSTEM1.TXT,0.30217,0.02759,0.05056,3

ROUGE-SU4+StopWordRemoval,FNS31040,SYSTEM1.TXT,0.43811,0.03207,0.05977,3

ROUGE-L+StopWordRemoval,FNS31042,SYSTEM1.TXT,0.65999,0.17547,0.27723,3

ROUGE-1+StopWordRemoval,FNS31042,SYSTEM1.TXT,0.79719,0.07455,0.13635,3

ROUGE-2+StopWordRemoval,FNS31042,SYSTEM1.TXT,0.36678,0.02625,0.04899,3

ROUGE-SU4+StopWordRemoval,FNS31042,SYSTEM1.TXT,0.52313,0.03078,0.05813,3

ROUGE-L+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.60511,0.15728,0.24967,3

ROUGE-1+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.74821,0.08971,0.16022,3

ROUGE-2+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.32816,0.03099,0.05663,3

ROUGE-SU4+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.47711,0.03727,0.06914,3

ROUGE-L+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.59937,0.08727,0.15236,3

ROUGE-1+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.74836,0.03766,0.07171,3

ROUGE-2+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.37418,0.01405,0.02709,3

ROUGE-SU4+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.48899,0.01581,0.03062,3

ROUGE-L+StopWordRemoval,FNS31846,SYSTEM1.TXT,0.62962,0.14149,0.23106,3

ROUGE-1+StopWordRemoval,FNS31846,SYSTEM1.TXT,0.78100,0.05944,0.11047,3

ROUGE-2+StopWordRemoval,FNS31846,SYSTEM1.TXT,0.35681,0.02029,0.03840,3

ROUGE-SU4+StopWordRemoval,FNS31846,SYSTEM1.TXT,0.50767,0.02343,0.04479,3

ROUGE-L+StopWordRemoval,FNS32936,SYSTEM1.TXT,0.48730,0.16569,0.24730,4

ROUGE-1+StopWordRemoval,FNS32936,SYSTEM1.TXT,0.67064,0.13529,0.22516,4

ROUGE-2+StopWordRemoval,FNS32936,SYSTEM1.TXT,0.28384,0.05352,0.09006,4

ROUGE-SU4+StopWordRemoval,FNS32936,SYSTEM1.TXT,0.43404,0.06468,0.11258,4

ROUGE-L+StopWordRemoval,FNS31969,SYSTEM1.TXT,0.60941,0.12393,0.20597,3

ROUGE-1+StopWordRemoval,FNS31969,SYSTEM1.TXT,0.77534,0.05904,0.10973,3

ROUGE-2+StopWordRemoval,FNS31969,SYSTEM1.TXT,0.29095,0.01859,0.03494,3

ROUGE-SU4+StopWordRemoval,FNS31969,SYSTEM1.TXT,0.44836,0.02537,0.04803,3

ROUGE-L+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.62483,0.12749,0.21177,4

ROUGE-1+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.76252,0.07053,0.12912,4

ROUGE-2+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.36354,0.02395,0.04494,4

ROUGE-SU4+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.49728,0.02850,0.05391,4

ROUGE-L+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.67010,0.11830,0.20110,3

ROUGE-1+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.79647,0.06198,0.11502,3

ROUGE-2+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.51921,0.02370,0.04533,3

ROUGE-SU4+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.62511,0.02626,0.05041,3

