ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS32376,SYSTEM1.TXT,0.55855,0.13330,0.21523,4

ROUGE-1+StopWordRemoval,FNS32376,SYSTEM1.TXT,0.78565,0.09391,0.16776,4

ROUGE-2+StopWordRemoval,FNS32376,SYSTEM1.TXT,0.38346,0.04133,0.07463,4

ROUGE-SU4+StopWordRemoval,FNS32376,SYSTEM1.TXT,0.47722,0.05245,0.09452,4

ROUGE-L+StopWordRemoval,FNS32134,SYSTEM1.TXT,0.48554,0.12783,0.20238,3

ROUGE-1+StopWordRemoval,FNS32134,SYSTEM1.TXT,0.68046,0.04618,0.08650,3

ROUGE-2+StopWordRemoval,FNS32134,SYSTEM1.TXT,0.21479,0.01397,0.02623,3

ROUGE-SU4+StopWordRemoval,FNS32134,SYSTEM1.TXT,0.32494,0.02058,0.03871,3

ROUGE-L+StopWordRemoval,FNS32135,SYSTEM1.TXT,0.51278,0.18991,0.27717,4

ROUGE-1+StopWordRemoval,FNS32135,SYSTEM1.TXT,0.72086,0.17978,0.28778,4

ROUGE-2+StopWordRemoval,FNS32135,SYSTEM1.TXT,0.33055,0.07912,0.12767,4

ROUGE-SU4+StopWordRemoval,FNS32135,SYSTEM1.TXT,0.41928,0.10058,0.16223,4

ROUGE-L+StopWordRemoval,FNS30991,SYSTEM1.TXT,0.39292,0.11397,0.17669,4

ROUGE-1+StopWordRemoval,FNS30991,SYSTEM1.TXT,0.64605,0.04717,0.08791,4

ROUGE-2+StopWordRemoval,FNS30991,SYSTEM1.TXT,0.25137,0.01596,0.03001,4

ROUGE-SU4+StopWordRemoval,FNS30991,SYSTEM1.TXT,0.34096,0.02256,0.04231,4

ROUGE-L+StopWordRemoval,FNS32136,SYSTEM1.TXT,0.64813,0.16265,0.26004,4

ROUGE-1+StopWordRemoval,FNS32136,SYSTEM1.TXT,0.79502,0.08773,0.15803,4

ROUGE-2+StopWordRemoval,FNS32136,SYSTEM1.TXT,0.36308,0.03594,0.06541,4

ROUGE-SU4+StopWordRemoval,FNS32136,SYSTEM1.TXT,0.46374,0.04569,0.08318,4

ROUGE-L+StopWordRemoval,FNS32378,SYSTEM1.TXT,0.38463,0.14598,0.21164,3

ROUGE-1+StopWordRemoval,FNS32378,SYSTEM1.TXT,0.61706,0.10203,0.17510,3

ROUGE-2+StopWordRemoval,FNS32378,SYSTEM1.TXT,0.19765,0.03189,0.05493,3

ROUGE-SU4+StopWordRemoval,FNS32378,SYSTEM1.TXT,0.30725,0.04749,0.08227,3

ROUGE-L+StopWordRemoval,FNS32810,SYSTEM1.TXT,0.60808,0.15450,0.24640,4

ROUGE-1+StopWordRemoval,FNS32810,SYSTEM1.TXT,0.77023,0.08821,0.15830,4

ROUGE-2+StopWordRemoval,FNS32810,SYSTEM1.TXT,0.35087,0.03535,0.06423,4

ROUGE-SU4+StopWordRemoval,FNS32810,SYSTEM1.TXT,0.44862,0.04674,0.08467,4

ROUGE-L+StopWordRemoval,FNS32139,SYSTEM1.TXT,0.59167,0.16979,0.26386,3

ROUGE-1+StopWordRemoval,FNS32139,SYSTEM1.TXT,0.74085,0.11348,0.19682,3

ROUGE-2+StopWordRemoval,FNS32139,SYSTEM1.TXT,0.34911,0.04555,0.08059,3

ROUGE-SU4+StopWordRemoval,FNS32139,SYSTEM1.TXT,0.43814,0.05947,0.10473,3

ROUGE-L+StopWordRemoval,FNS31601,SYSTEM1.TXT,0.62651,0.11636,0.19626,4

ROUGE-1+StopWordRemoval,FNS31601,SYSTEM1.TXT,0.78629,0.05038,0.09470,4

ROUGE-2+StopWordRemoval,FNS31601,SYSTEM1.TXT,0.36609,0.02179,0.04114,4

ROUGE-SU4+StopWordRemoval,FNS31601,SYSTEM1.TXT,0.45466,0.02696,0.05090,4

ROUGE-L+StopWordRemoval,FNS31843,SYSTEM1.TXT,0.61681,0.14567,0.23568,3

ROUGE-1+StopWordRemoval,FNS31843,SYSTEM1.TXT,0.80293,0.10780,0.19007,3

ROUGE-2+StopWordRemoval,FNS31843,SYSTEM1.TXT,0.37510,0.04282,0.07687,3

ROUGE-SU4+StopWordRemoval,FNS31843,SYSTEM1.TXT,0.47772,0.05708,0.10198,3

ROUGE-L+StopWordRemoval,FNS31844,SYSTEM1.TXT,0.44703,0.09413,0.15552,3

ROUGE-1+StopWordRemoval,FNS31844,SYSTEM1.TXT,0.67716,0.07028,0.12734,3

ROUGE-2+StopWordRemoval,FNS31844,SYSTEM1.TXT,0.22533,0.02386,0.04315,3

ROUGE-SU4+StopWordRemoval,FNS31844,SYSTEM1.TXT,0.33867,0.03421,0.06214,3

ROUGE-L+StopWordRemoval,FNS30874,SYSTEM1.TXT,0.67057,0.09981,0.17376,5

ROUGE-1+StopWordRemoval,FNS30874,SYSTEM1.TXT,0.85453,0.03240,0.06243,5

ROUGE-2+StopWordRemoval,FNS30874,SYSTEM1.TXT,0.47459,0.01334,0.02595,5

ROUGE-SU4+StopWordRemoval,FNS30874,SYSTEM1.TXT,0.54794,0.01699,0.03297,5

ROUGE-L+StopWordRemoval,FNS31040,SYSTEM1.TXT,0.49599,0.13079,0.20699,3

ROUGE-1+StopWordRemoval,FNS31040,SYSTEM1.TXT,0.72362,0.07702,0.13922,3

ROUGE-2+StopWordRemoval,FNS31040,SYSTEM1.TXT,0.29114,0.03141,0.05670,3

ROUGE-SU4+StopWordRemoval,FNS31040,SYSTEM1.TXT,0.38895,0.04038,0.07317,3

ROUGE-L+StopWordRemoval,FNS31042,SYSTEM1.TXT,0.61598,0.16068,0.25488,3

ROUGE-1+StopWordRemoval,FNS31042,SYSTEM1.TXT,0.83253,0.07636,0.13988,3

ROUGE-2+StopWordRemoval,FNS31042,SYSTEM1.TXT,0.39275,0.03287,0.06066,3

ROUGE-SU4+StopWordRemoval,FNS31042,SYSTEM1.TXT,0.49458,0.04190,0.07726,3

ROUGE-L+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.57560,0.14588,0.23276,3

ROUGE-1+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.76801,0.09097,0.16268,3

ROUGE-2+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.34590,0.03789,0.06829,3

ROUGE-SU4+StopWordRemoval,FNS31165,SYSTEM1.TXT,0.45008,0.04868,0.08787,3

ROUGE-L+StopWordRemoval,FNS31604,SYSTEM1.TXT,0.58194,0.08274,0.14488,3

